1,HeartBeatReq,erlserver_gobang_pb
2,HeartBeatResp,erlserver_gobang_pb
100,GetRoomsInfoReq,erlserver_gobang_pb
101,GetRoomsInfoResp,erlserver_gobang_pb
102,JoinRoomReq,erlserver_gobang_pb
103,JoinRoomResp,erlserver_gobang_pb
104,PrepareReq,erlserver_gobang_pb
105,PrepareResp,erlserver_gobang_pb
106,StartGamePush,erlserver_gobang_pb
107,PlayGameReq,erlserver_gobang_pb
108,PlayGameResp,erlserver_gobang_pb
109,PlayBroadcastPush,erlserver_gobang_pb
110,EndGamePush,erlserver_gobang_pb
111,UserInOutPush,erlserver_gobang_pb
112,JoinAudienceReq,erlserver_gobang_pb
113,JoinAudienceResp,erlserver_gobang_pb
114,JoinSeatReq,erlserver_gobang_pb
115,JoinSeatResp,erlserver_gobang_pb
